pair_ID	relatedness_score	entailment_judgment
585	3.78906	ENTAILMENT
589	3.69033	NEUTRAL
590	3.53001	ENTAILMENT
591	4.27183	ENTAILMENT
593	4.78737	ENTAILMENT
594	3.90427	CONTRADICTION
595	3.79339	NEUTRAL
596	3.09828	NEUTRAL
598	3.29351	NEUTRAL
600	4.75421	ENTAILMENT
602	3.31598	NEUTRAL
607	2.0688	NEUTRAL
608	1.92813	NEUTRAL
610	1.89078	NEUTRAL
612	2.13389	NEUTRAL
613	4.7018	ENTAILMENT
614	4.32489	CONTRADICTION
615	3.92787	ENTAILMENT
616	4.04959	NEUTRAL
618	1.9181	NEUTRAL
620	3.13496	NEUTRAL
623	3.90801	NEUTRAL
624	3.75651	NEUTRAL
627	4.00537	CONTRADICTION
633	3.55884	NEUTRAL
635	4.19332	NEUTRAL
636	3.15961	NEUTRAL
639	4.6192	ENTAILMENT
640	3.69845	ENTAILMENT
642	4.64484	ENTAILMENT
644	3.95045	ENTAILMENT
652	4.81599	ENTAILMENT
654	3.46573	NEUTRAL
656	4.47432	ENTAILMENT
658	4.50577	NEUTRAL
659	4.08446	NEUTRAL
662	3.9664	NEUTRAL
664	4.40076	NEUTRAL
665	4.32474	ENTAILMENT
666	4.3923	NEUTRAL
667	4.84048	ENTAILMENT
669	3.80397	NEUTRAL
670	3.98711	NEUTRAL
673	3.20654	NEUTRAL
674	3.49049	NEUTRAL
675	3.8772	NEUTRAL
677	4.7365	CONTRADICTION
681	4.13214	NEUTRAL
682	4.33268	NEUTRAL
683	3.84296	NEUTRAL
684	4.28816	NEUTRAL
686	4.32687	NEUTRAL
688	4.40255	NEUTRAL
694	3.74777	NEUTRAL
695	2.86464	NEUTRAL
700	3.08341	NEUTRAL
701	2.84381	NEUTRAL
705	3.8957	ENTAILMENT
706	2.9322	CONTRADICTION
707	3.62628	ENTAILMENT
708	3.05045	CONTRADICTION
710	2.80075	NEUTRAL
711	2.76715	NEUTRAL
712	3.43832	NEUTRAL
713	4.70851	ENTAILMENT
714	3.89838	NEUTRAL
716	4.66971	ENTAILMENT
719	3.8754	NEUTRAL
720	3.52687	NEUTRAL
721	3.35885	NEUTRAL
724	3.86002	NEUTRAL
726	4.36884	ENTAILMENT
739	4.27503	ENTAILMENT
740	4.17821	ENTAILMENT
742	3.24385	NEUTRAL
743	3.73473	NEUTRAL
744	3.74238	NEUTRAL
750	3.6134	NEUTRAL
751	3.04359	NEUTRAL
753	3.86662	CONTRADICTION
755	3.11285	NEUTRAL
756	3.4222	ENTAILMENT
758	3.67137	ENTAILMENT
763	4.36136	ENTAILMENT
767	3.01624	NEUTRAL
770	3.17157	NEUTRAL
771	3.24675	ENTAILMENT
773	3.95707	NEUTRAL
775	3.96496	NEUTRAL
776	2.84103	NEUTRAL
778	2.55883	NEUTRAL
779	2.74376	NEUTRAL
781	4.59525	NEUTRAL
782	3.859	CONTRADICTION
786	2.82804	NEUTRAL
787	4.29523	NEUTRAL
788	3.66778	NEUTRAL
790	3.96423	NEUTRAL
794	4.39586	ENTAILMENT
795	3.52179	ENTAILMENT
798	4.08688	NEUTRAL
800	2.62854	NEUTRAL
801	2.40304	NEUTRAL
803	3.77207	NEUTRAL
805	4.53233	ENTAILMENT
806	4.27567	ENTAILMENT
807	3.86565	ENTAILMENT
808	4.23238	NEUTRAL
809	3.48543	CONTRADICTION
810	2.01069	NEUTRAL
814	2.35829	NEUTRAL
815	2.00632	NEUTRAL
817	4.58489	ENTAILMENT
818	4.49635	ENTAILMENT
819	3.90787	CONTRADICTION
821	2.2488	NEUTRAL
823	2.67459	NEUTRAL
826	2.04251	NEUTRAL
828	3.6679	CONTRADICTION
829	4.00338	NEUTRAL
832	3.22469	NEUTRAL
833	3.4599	NEUTRAL
834	3.22765	NEUTRAL
835	3.41173	NEUTRAL
837	3.05524	NEUTRAL
838	3.38655	NEUTRAL
840	4.26476	NEUTRAL
842	3.57158	NEUTRAL
843	4.19766	ENTAILMENT
847	2.64325	NEUTRAL
849	2.22889	NEUTRAL
850	3.00054	NEUTRAL
853	4.08042	NEUTRAL
854	3.60873	CONTRADICTION
856	4.76114	ENTAILMENT
861	3.08668	NEUTRAL
863	4.34272	ENTAILMENT
865	3.84867	CONTRADICTION
871	3.83118	CONTRADICTION
875	4.305	NEUTRAL
877	4.43619	NEUTRAL
884	2.98194	NEUTRAL
885	2.9892	NEUTRAL
886	3.24853	NEUTRAL
890	4.78324	ENTAILMENT
891	3.64461	CONTRADICTION
894	4.13148	ENTAILMENT
896	4.06425	ENTAILMENT
897	3.12061	CONTRADICTION
900	4.01126	ENTAILMENT
901	4.03426	NEUTRAL
903	4.0759	NEUTRAL
905	3.67072	NEUTRAL
907	3.52179	NEUTRAL
911	3.80518	NEUTRAL
912	4.8624	ENTAILMENT
914	4.69085	ENTAILMENT
916	3.79456	ENTAILMENT
918	2.15339	NEUTRAL
919	3.23774	NEUTRAL
921	3.49132	NEUTRAL
923	4.43515	ENTAILMENT
924	4.18698	CONTRADICTION
925	3.43105	NEUTRAL
926	4.57307	CONTRADICTION
928	3.83739	NEUTRAL
929	2.97794	NEUTRAL
930	3.51291	NEUTRAL
934	4.64517	ENTAILMENT
937	4.60397	ENTAILMENT
938	3.80043	NEUTRAL
939	3.82838	NEUTRAL
941	3.71537	NEUTRAL
942	4.2439	NEUTRAL
946	3.76438	NEUTRAL
951	4.63712	CONTRADICTION
952	3.60619	ENTAILMENT
954	4.33962	NEUTRAL
955	3.93449	NEUTRAL
958	3.52714	ENTAILMENT
964	4.50248	CONTRADICTION
965	4.83985	ENTAILMENT
966	4.307	NEUTRAL
968	4.07924	NEUTRAL
969	4.11429	NEUTRAL
971	2.80641	NEUTRAL
972	4.16831	NEUTRAL
974	2.99292	CONTRADICTION
976	4.66201	ENTAILMENT
977	4.58557	ENTAILMENT
981	3.1024	NEUTRAL
982	2.50094	NEUTRAL
983	2.17465	NEUTRAL
986	4.6241	ENTAILMENT
990	4.83013	ENTAILMENT
992	1.57909	NEUTRAL
993	1.59678	NEUTRAL
995	1.65786	NEUTRAL
997	2.19867	NEUTRAL
999	4.57887	ENTAILMENT
1001	4.67988	ENTAILMENT
1003	2.10224	NEUTRAL
1005	2.31912	NEUTRAL
1006	2.20364	NEUTRAL
1011	4.56839	ENTAILMENT
1012	2.8447	NEUTRAL
1013	3.64035	ENTAILMENT
1014	3.67875	NEUTRAL
1015	2.7112	NEUTRAL
1017	3.26642	NEUTRAL
1020	3.29796	NEUTRAL
1023	3.94621	NEUTRAL
1024	4.51197	ENTAILMENT
1025	3.48706	NEUTRAL
1027	3.7709	NEUTRAL
1030	4.0777	NEUTRAL
1032	4.81845	ENTAILMENT
1034	3.21787	NEUTRAL
1035	4.6855	ENTAILMENT
1036	3.5397	CONTRADICTION
1040	3.30996	NEUTRAL
1041	4.37546	ENTAILMENT
1042	3.57506	NEUTRAL
1051	2.45265	NEUTRAL
1056	2.50723	NEUTRAL
1058	4.5197	ENTAILMENT
1059	3.77902	CONTRADICTION
1060	3.99951	NEUTRAL
1062	4.24746	CONTRADICTION
1063	3.38697	ENTAILMENT
1066	2.71837	NEUTRAL
1067	3.91303	NEUTRAL
1070	4.18714	NEUTRAL
1071	4.29349	ENTAILMENT
1072	3.07313	NEUTRAL
1073	4.71508	ENTAILMENT
1075	4.05639	NEUTRAL
1077	4.09911	NEUTRAL
1078	3.94163	NEUTRAL
1079	4.03506	NEUTRAL
1081	4.31915	NEUTRAL
1085	4.75363	ENTAILMENT
1086	4.48005	NEUTRAL
1089	3.99047	NEUTRAL
1098	4.83467	ENTAILMENT
1100	1.07425	NEUTRAL
1101	1.09922	NEUTRAL
1103	1.09528	NEUTRAL
1106	4.83234	ENTAILMENT
1107	4.14012	CONTRADICTION
1110	3.70247	CONTRADICTION
1113	1.20409	NEUTRAL
1114	1.32001	NEUTRAL
1116	1.17992	NEUTRAL
1121	4.67811	ENTAILMENT
1123	4.60444	ENTAILMENT
1124	3.88642	CONTRADICTION
1126	4.49202	ENTAILMENT
1127	3.6392	CONTRADICTION
1130	3.64217	CONTRADICTION
1131	4.54522	ENTAILMENT
1132	4.48892	NEUTRAL
1134	4.53418	NEUTRAL
1136	3.25707	NEUTRAL
1138	4.556	NEUTRAL
1139	4.75904	ENTAILMENT
1140	3.62676	CONTRADICTION
1141	4.7108	ENTAILMENT
1142	3.43382	CONTRADICTION
1143	1.08361	NEUTRAL
1144	1.06748	NEUTRAL
1146	1.11121	NEUTRAL
1148	4.1163	ENTAILMENT
1150	4.31975	NEUTRAL
1151	3.67132	CONTRADICTION
1152	3.30979	NEUTRAL
1156	3.3577	NEUTRAL
1158	3.3347	CONTRADICTION
1159	4.77579	ENTAILMENT
1160	4.42537	ENTAILMENT
1163	4.32366	ENTAILMENT
1164	3.17609	CONTRADICTION
1166	4.49327	ENTAILMENT
1168	4.43546	ENTAILMENT
1171	3.59572	CONTRADICTION
1172	4.38828	ENTAILMENT
1173	3.57033	CONTRADICTION
1174	4.67497	ENTAILMENT
1176	3.75892	CONTRADICTION
1181	1.54762	NEUTRAL
1183	1.28936	NEUTRAL
1185	4.01722	ENTAILMENT
1186	4.68866	ENTAILMENT
1187	4.62196	ENTAILMENT
1189	4.50036	NEUTRAL
1197	3.472	CONTRADICTION
1198	3.59621	NEUTRAL
1199	3.11585	NEUTRAL
1201	3.46086	NEUTRAL
1203	2.76658	NEUTRAL
1204	4.20587	NEUTRAL
1208	4.66974	ENTAILMENT
1209	3.80474	CONTRADICTION
1210	2.94366	NEUTRAL
1211	2.72123	NEUTRAL
1216	4.08509	CONTRADICTION
1217	4.49296	NEUTRAL
1218	3.79521	CONTRADICTION
1220	3.47492	NEUTRAL
1223	4.39239	NEUTRAL
1224	4.65234	ENTAILMENT
1225	3.51226	CONTRADICTION
1226	4.57773	ENTAILMENT
1229	2.21389	NEUTRAL
1231	1.77709	NEUTRAL
1233	4.09329	ENTAILMENT
1234	3.94292	CONTRADICTION
1235	4.01139	NEUTRAL
1238	4.38781	ENTAILMENT
1243	3.92921	CONTRADICTION
1245	3.42489	CONTRADICTION
1247	2.2463	NEUTRAL
1250	3.12138	NEUTRAL
1252	3.80137	CONTRADICTION
1253	4.77109	ENTAILMENT
1254	3.72456	ENTAILMENT
1256	2.67464	ENTAILMENT
1257	3.08485	ENTAILMENT
1258	1.93829	NEUTRAL
1260	4.77442	ENTAILMENT
1261	3.75656	CONTRADICTION
1262	4.81088	ENTAILMENT
1263	2.9175	CONTRADICTION
1264	4.65659	ENTAILMENT
1265	2.54713	CONTRADICTION
1267	3.75746	NEUTRAL
1269	3.13358	NEUTRAL
1272	3.63083	CONTRADICTION
1277	1.50413	NEUTRAL
1278	3.47367	NEUTRAL
1279	1.48146	NEUTRAL
1281	3.414	CONTRADICTION
1285	2.17153	NEUTRAL
1286	2.18994	NEUTRAL
1288	3.62587	CONTRADICTION
1289	4.48735	ENTAILMENT
1290	4.45189	NEUTRAL
1295	4.46586	NEUTRAL
1296	3.8881	ENTAILMENT
1298	4.03477	ENTAILMENT
1299	4.22951	NEUTRAL
1300	3.46329	CONTRADICTION
1301	2.78843	NEUTRAL
1304	3.30474	NEUTRAL
1306	1.23796	NEUTRAL
1307	2.15487	NEUTRAL
1309	4.25933	ENTAILMENT
1310	3.39262	CONTRADICTION
1312	4.32933	CONTRADICTION
1313	1.1838	NEUTRAL
1314	1.1141	NEUTRAL
1315	1.13743	NEUTRAL
1316	1.17106	NEUTRAL
1320	3.77681	ENTAILMENT
1322	2.38152	NEUTRAL
1323	3.91161	ENTAILMENT
1324	4.38036	ENTAILMENT
1325	2.41519	NEUTRAL
1327	4.4176	NEUTRAL
1330	4.41093	NEUTRAL
1331	4.62009	ENTAILMENT
1332	3.77953	CONTRADICTION
1334	2.82591	NEUTRAL
1337	4.25001	ENTAILMENT
1338	3.27558	CONTRADICTION
1339	4.48358	ENTAILMENT
1340	4.38732	ENTAILMENT
1343	3.89187	NEUTRAL
1347	2.84498	CONTRADICTION
1348	4.47608	NEUTRAL
1349	4.29442	ENTAILMENT
1351	4.54104	ENTAILMENT
1353	4.10873	NEUTRAL
1356	3.66163	CONTRADICTION
1357	4.35053	NEUTRAL
1360	4.26953	ENTAILMENT
1362	4.17186	NEUTRAL
1363	3.3867	CONTRADICTION
1364	4.25959	ENTAILMENT
1366	4.22236	NEUTRAL
1367	4.51007	ENTAILMENT
1369	4.65043	ENTAILMENT
1370	3.58915	CONTRADICTION
1374	3.70772	CONTRADICTION
1375	4.68338	ENTAILMENT
1377	3.86827	CONTRADICTION
1382	4.45601	NEUTRAL
1383	3.28513	CONTRADICTION
1391	1.07731	NEUTRAL
1392	1.0627	NEUTRAL
1393	1.04536	NEUTRAL
1394	4.38962	CONTRADICTION
1395	3.51521	NEUTRAL
1397	3.31602	CONTRADICTION
1398	3.32694	NEUTRAL
1401	3.46322	ENTAILMENT
1402	3.32026	NEUTRAL
1406	3.41667	CONTRADICTION
1411	1.42696	NEUTRAL
1413	4.5374	ENTAILMENT
1416	4.7449	ENTAILMENT
1418	4.45927	ENTAILMENT
1420	4.67931	ENTAILMENT
1422	4.71024	ENTAILMENT
1423	4.64486	ENTAILMENT
1424	4.31241	CONTRADICTION
1425	1.25059	NEUTRAL
1426	1.22106	NEUTRAL
1428	1.20565	NEUTRAL
1430	4.72614	ENTAILMENT
1433	4.06261	CONTRADICTION
1436	3.14405	NEUTRAL
1437	2.20165	NEUTRAL
1439	3.43123	ENTAILMENT
1440	3.58089	CONTRADICTION
1441	3.53273	NEUTRAL
1442	3.42463	ENTAILMENT
1445	1.93671	NEUTRAL
1447	2.08539	NEUTRAL
1449	4.67792	ENTAILMENT
1450	4.70566	ENTAILMENT
1451	3.90075	CONTRADICTION
1452	1.40641	NEUTRAL
1454	1.89152	NEUTRAL
1456	1.38687	NEUTRAL
1457	4.56637	ENTAILMENT
1459	3.47334	NEUTRAL
1460	2.48502	NEUTRAL
1462	1.59436	NEUTRAL
1465	1.15636	NEUTRAL
1468	4.79196	ENTAILMENT
1471	2.00495	NEUTRAL
1472	2.22226	NEUTRAL
1475	4.45249	ENTAILMENT
1477	4.51673	ENTAILMENT
1478	3.97676	CONTRADICTION
1485	3.95902	CONTRADICTION
1490	4.54714	NEUTRAL
1491	3.05051	NEUTRAL
1492	3.9295	NEUTRAL
1496	3.64794	CONTRADICTION
1497	4.57427	ENTAILMENT
1500	3.3997	CONTRADICTION
1502	4.27936	ENTAILMENT
1507	3.16594	NEUTRAL
1508	3.5497	NEUTRAL
1510	2.56196	NEUTRAL
1512	2.46851	NEUTRAL
1515	1.12955	NEUTRAL
1516	1.48246	NEUTRAL
1518	1.14122	NEUTRAL
1520	4.6495	ENTAILMENT
1522	4.55234	ENTAILMENT
1526	3.34142	ENTAILMENT
1528	3.40933	NEUTRAL
1529	4.1525	NEUTRAL
1530	3.25266	NEUTRAL
1533	1.11632	NEUTRAL
1537	1.07481	NEUTRAL
1539	4.0144	CONTRADICTION
1540	4.32158	ENTAILMENT
1542	2.30193	NEUTRAL
1543	1.69891	NEUTRAL
1544	1.96804	NEUTRAL
1546	2.02106	NEUTRAL
1548	2.60107	CONTRADICTION
1554	2.74063	CONTRADICTION
1555	4.19938	NEUTRAL
1556	4.40938	ENTAILMENT
1560	4.18655	ENTAILMENT
1561	4.07504	NEUTRAL
1562	3.66924	NEUTRAL
1564	3.92478	NEUTRAL
1567	4.69176	ENTAILMENT
1568	4.59853	ENTAILMENT
1569	4.26641	CONTRADICTION
1571	3.81612	NEUTRAL
1572	2.01492	NEUTRAL
1577	2.58965	NEUTRAL
1578	4.38651	ENTAILMENT
1579	3.88415	CONTRADICTION
1581	3.84292	CONTRADICTION
1583	3.26944	CONTRADICTION
1589	4.49433	ENTAILMENT
1590	3.29088	NEUTRAL
1593	4.43755	ENTAILMENT
1594	3.30383	NEUTRAL
1596	4.93888	ENTAILMENT
1597	3.66798	NEUTRAL
1598	4.73056	ENTAILMENT
1600	4.59799	ENTAILMENT
1602	3.19922	CONTRADICTION
1603	4.42651	ENTAILMENT
1605	3.86526	NEUTRAL
1611	3.69179	CONTRADICTION
1613	3.54858	CONTRADICTION
1616	1.90974	NEUTRAL
1617	4.797	ENTAILMENT
1619	4.78347	ENTAILMENT
1620	4.66455	ENTAILMENT
1622	1.34104	NEUTRAL
1623	1.22856	NEUTRAL
1624	1.26349	NEUTRAL
1630	4.68125	ENTAILMENT
1633	3.17746	NEUTRAL
1634	3.01812	CONTRADICTION
1636	2.73165	NEUTRAL
1637	3.49847	NEUTRAL
1638	1.42959	NEUTRAL
1642	2.78723	NEUTRAL
1644	3.61469	CONTRADICTION
1645	4.61696	ENTAILMENT
1654	3.83851	CONTRADICTION
1656	4.80515	ENTAILMENT
1658	4.89224	ENTAILMENT
1662	4.03701	ENTAILMENT
1664	4.70735	CONTRADICTION
1665	3.48606	NEUTRAL
1666	3.99665	NEUTRAL
1667	4.89664	ENTAILMENT
1672	1.08968	NEUTRAL
1674	1.19419	NEUTRAL
1678	3.60151	CONTRADICTION
1679	3.6647	NEUTRAL
1681	3.85432	CONTRADICTION
1683	4.61816	ENTAILMENT
1684	3.51525	CONTRADICTION
1685	2.40351	NEUTRAL
1686	4.56178	ENTAILMENT
1688	3.65989	NEUTRAL
1689	4.50263	ENTAILMENT
1692	3.08115	ENTAILMENT
1693	4.58843	ENTAILMENT
1695	3.9557	NEUTRAL
1696	4.18749	ENTAILMENT
1698	3.97736	ENTAILMENT
1699	4.54999	ENTAILMENT
1701	2.16731	NEUTRAL
1704	4.77358	ENTAILMENT
1709	1.20937	NEUTRAL
1710	1.23091	NEUTRAL
1713	3.46115	CONTRADICTION
1717	4.68856	ENTAILMENT
1718	2.56401	ENTAILMENT
1720	3.14726	NEUTRAL
1722	4.7477	ENTAILMENT
1725	4.77415	ENTAILMENT
1726	3.70449	CONTRADICTION
1727	4.86291	ENTAILMENT
1728	1.28531	NEUTRAL
1730	1.24893	NEUTRAL
1731	1.44158	ENTAILMENT
1732	1.21241	NEUTRAL
1734	3.97932	ENTAILMENT
1735	3.06687	CONTRADICTION
1737	3.73712	CONTRADICTION
1738	1.28109	NEUTRAL
1739	1.32167	NEUTRAL
1740	1.17636	NEUTRAL
